V1,V2,V3,V4,V5
*_SCFLD21_0016157,<hkxhk>,0,0,--,hh,--,--,hk,hk,--,hk,--,hk,hk,--,--,--,kk,hk,hk,hk,hk,--,hk,hk,--,--,--,--,hk,hh,kk,kk,hk,kk,kk,kk,kk,hk,kk,hk,--,--,hk,--,kk,--,hh,hh,kk,hh,--,hk,kk,--,hh,hh,kk,--,--,--,hk,hh,--,hh,kk,hk,hk,hh,hk,kk,kk,kk,hk,hk,hk,hk,--,hk,hh,hk,hk,hk,hk,hk,hk,kk,kk,hh,hk,--,kk,hk
*_SCFLD21_0083659,<nnxnp>,1,1,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,np,nn
*_SCFLD21_0116459,<nnxnp>,1,1,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,np,nn
*_SCFLD21_0147182,<nnxnp>,0,0,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,np,nn
*_SCFLD21_0383220,<lmxll>,0,0,lm,--,lm,--,lm,--,lm,--,lm,ll,--,ll,--,ll,--,ll,--,--,ll,lm,ll,--,--,--,--,ll,ll,--,--,ll,--,--,ll,--,ll,lm,--,ll,--,--,ll,ll,--,--,lm,lm,ll,lm,lm,lm,ll,ll,--,lm,ll,--,--,--,--,--,--,lm,ll,lm,--,lm,lm,ll,--,--,ll,ll,--,--,--,lm,lm,--,ll,--,--,--,lm,--,--,lm,ll,ll,ll,--
*_SCFLD21_0383249,<hkxhk>,1,1,kk,hk,kk,--,kk,--,hk,--,hk,hh,hh,hh,--,hk,--,hh,--,--,hh,kk,hh,--,--,--,hk,hk,hh,hk,--,--,hh,--,hk,--,hk,kk,--,hh,--,--,hh,hh,--,--,hk,hk,hh,hk,kk,kk,hk,hk,hk,hk,hk,--,--,--,hh,hk,--,hk,hk,kk,--,hk,kk,hk,--,--,hh,hh,--,--,--,kk,hk,--,hh,--,--,--,kk,--,hk,hk,hh,hh,hk,hh
*_SCFLD21_0416616,<nnxnp>,0,0,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,np,nn
*_SCFLD21_0420767,<nnxnp>,0,0,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,np,nn
*_SCFLD21_0474152,<nnxnp>,1,1,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,np,nn
*_SCFLD22_0129147,<hkxhk>,0,0,--,--,hk,--,hk,--,hh,hk,hk,hk,--,--,--,--,--,--,hk,--,hk,--,kk,hk,hh,--,--,hh,--,hk,--,--,--,--,--,--,kk,--,kk,--,--,--,hk,--,hh,kk,hk,--,hh,--,--,hk,kk,hk,--,hk,--,kk,--,--,hk,--,--,hh,hk,--,--,hh,--,--,hk,--,kk,hh,--,--,--,--,hk,--,--,hh,hh,--,hk,hk,hh,--,kk,--,hk,--
*_SCFLD22_0169118,<lmxll>,0,0,lm,ll,lm,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll
