"a" "b" "c" "d" "e"
"1" "L1" "SCFLD172" 513040 "Scaffold172" "Scaffold172_513040"
"2" "L1" "SCFLD173d" 1039607 "Scaffold173d" "Scaffold173d_1039607"
"3" "L1" "SCFLD188" 180129 "Scaffold188" "Scaffold188_180129"
"4" "L1" "SCFLD188" 189798 "Scaffold188" "Scaffold188_189798"
"5" "L1" "SCFLD188" 206527 "Scaffold188" "Scaffold188_206527"
"6" "L1" "SCFLD188" 265736 "Scaffold188" "Scaffold188_265736"
"7" "L1" "SCFLD188" 300554 "Scaffold188" "Scaffold188_300554"
"8" "L1" "SCFLD188" 350432 "Scaffold188" "Scaffold188_350432"
"9" "L1" "SCFLD188" 372883 "Scaffold188" "Scaffold188_372883"
"10" "L1" "SCFLD188" 85532 "Scaffold188" "Scaffold188_85532"
"11" "L1" "SCFLD1978" 1661 "Scaffold1978" "Scaffold1978_1661"
"12" "L1" "SCFLD2206" 14349 "Scaffold2206" "Scaffold2206_14349"
"13" "L1" "SCFLD262" 70563 "Scaffold262" "Scaffold262_70563"
"14" "L1" "SCFLD369" 244726 "Scaffold369" "Scaffold369_244726"
"15" "L1" "SCFLD369" 318391 "Scaffold369" "Scaffold369_318391"
"16" "L1" "SCFLD4099" 645 "Scaffold4099" "Scaffold4099_645"
"17" "L1" "SCFLD430" 6890 "Scaffold430" "Scaffold430_6890"
"18" "L1" "SCFLD441" 198210 "Scaffold441" "Scaffold441_198210"
"19" "L1" "SCFLD441" 205287 "Scaffold441" "Scaffold441_205287"
"20" "L1" "SCFLD545" 147188 "Scaffold545" "Scaffold545_147188"
"21" "L1" "SCFLD597" 166674 "Scaffold597" "Scaffold597_166674"
"22" "L1" "SCFLD597" 166688 "Scaffold597" "Scaffold597_166688"
"23" "L1" "SCFLD622" 24354 "Scaffold622" "Scaffold622_24354"
"24" "L1" "SCFLD622" 4076 "Scaffold622" "Scaffold622_4076"
"25" "L1" "SCFLD622" 89557 "Scaffold622" "Scaffold622_89557"
"26" "L1" "SCFLD622" 98742 "Scaffold622" "Scaffold622_98742"
"27" "L1" "SCFLD633" 89034 "Scaffold633" "Scaffold633_89034"
"28" "L1" "SCFLD6527" 5762 "Scaffold6527" "Scaffold6527_5762"
"29" "L1" "SCFLD9" 176516 "Scaffold9" "Scaffold9_176516"
"30" "L1" "SCFLD9" 456130 "Scaffold9" "Scaffold9_456130"
"31" "L1" "SCFLD9" 550390 "Scaffold9" "Scaffold9_550390"
"32" "L1" "SCFLD9" 715094 "Scaffold9" "Scaffold9_715094"
"33" "L1" "SCFLD9" 761994 "Scaffold9" "Scaffold9_761994"
"34" "L1" "SCFLD9" 779153 "Scaffold9" "Scaffold9_779153"
"35" "L1" "SCFLD97" 471456 "Scaffold97" "Scaffold97_471456"
"36" "L1" "SCFLD9916a" 39835 "Scaffold9916a" "Scaffold9916a_39835"
"37" "L1" "SCFLD9916b" 68080 "Scaffold9916b" "Scaffold9916b_68080"
"38" "L1" "SCFLD9916c" 82859 "Scaffold9916c" "Scaffold9916c_82859"
"39" "L1" "SCFLD9916d" 82946 "Scaffold9916d" "Scaffold9916d_82946"
"40" "L1" "SCFLD9916e" 244091 "Scaffold9916e" "Scaffold9916e_244091"
"41" "L1" "SCFLD9916f" 244222 "Scaffold9916f" "Scaffold9916f_244222"
"42" "L1" "SCFLD9916g" 449892 "Scaffold9916g" "Scaffold9916g_449892"
"43" "L1" "SCFLD9916h" 450033 "Scaffold9916h" "Scaffold9916h_450033"
"44" "L1" "SCFLD9916i" 878900 "Scaffold9916i" "Scaffold9916i_878900"
"45" "L1" "SCFLD9916j" 920234 "Scaffold9916j" "Scaffold9916j_920234"
"46" "L1" "SCFLD9916k" 932413 "Scaffold9916k" "Scaffold9916k_932413"
"47" "L1" "SCFLD9916l" 932451 "Scaffold9916l" "Scaffold9916l_932451"
"48" "L1" "SCFLD9916m" 949946 "Scaffold9916m" "Scaffold9916m_949946"
"49" "L1" "SCFLD9916n" 949977 "Scaffold9916n" "Scaffold9916n_949977"
"50" "L1" "SCFLD9949" 1182989 "Scaffold9949" "Scaffold9949_1182989"
"51" "L1" "SCFLD9949" 1641054 "Scaffold9949" "Scaffold9949_1641054"
"52" "L1" "SCFLD9949" 230349 "Scaffold9949" "Scaffold9949_230349"
"53" "L1" "SCFLD9949" 427977 "Scaffold9949" "Scaffold9949_427977"
"54" "L1" "SCFLD9949" 449616 "Scaffold9949" "Scaffold9949_449616"
"55" "L1" "SCFLD9949" 830301 "Scaffold9949" "Scaffold9949_830301"
"56" "L1" "SCFLD10001" 1154962 "Scaffold10001" "Scaffold10001_1154962"
"57" "L1" "SCFLD10001" 118160 "Scaffold10001" "Scaffold10001_118160"
"58" "L1" "SCFLD10001" 1370756 "Scaffold10001" "Scaffold10001_1370756"
"59" "L1" "SCFLD10001" 1377757 "Scaffold10001" "Scaffold10001_1377757"
"60" "L1" "SCFLD10001" 151312 "Scaffold10001" "Scaffold10001_151312"
"61" "L1" "SCFLD10001" 454470 "Scaffold10001" "Scaffold10001_454470"
"62" "L1" "SCFLD10001" 454497 "Scaffold10001" "Scaffold10001_454497"
"63" "L1" "SCFLD10001" 458444 "Scaffold10001" "Scaffold10001_458444"
"64" "L1" "SCFLD10001" 458584 "Scaffold10001" "Scaffold10001_458584"
"65" "L1" "SCFLD10001" 494138 "Scaffold10001" "Scaffold10001_494138"
"66" "L1" "SCFLD10001" 508064 "Scaffold10001" "Scaffold10001_508064"
"67" "L1" "SCFLD10001" 594349 "Scaffold10001" "Scaffold10001_594349"
"68" "L1" "SCFLD10001" 606099 "Scaffold10001" "Scaffold10001_606099"
"69" "L1" "SCFLD10001" 63226 "Scaffold10001" "Scaffold10001_63226"
"70" "L1" "SCFLD10001" 670673 "Scaffold10001" "Scaffold10001_670673"
"71" "L1" "SCFLD10001" 682440 "Scaffold10001" "Scaffold10001_682440"
"72" "L1" "SCFLD10001" 706794 "Scaffold10001" "Scaffold10001_706794"
"73" "L1" "SCFLD10001" 942145 "Scaffold10001" "Scaffold10001_942145"
"74" "L1" "SCFLD10001" 948246 "Scaffold10001" "Scaffold10001_948246"
"75" "L1" "SCFLD10001" 980922 "Scaffold10001" "Scaffold10001_980922"
"76" "L1" "SCFLD10001" 980949 "Scaffold10001" "Scaffold10001_980949"
"77" "L1" "SCFLD10001" 980958 "Scaffold10001" "Scaffold10001_980958"
"78" "L1" "SCFLD120" 153186 "Scaffold120" "Scaffold120_153186"
"79" "L1" "SCFLD120" 169963 "Scaffold120" "Scaffold120_169963"
"80" "L1" "SCFLD120" 207210 "Scaffold120" "Scaffold120_207210"
"81" "L1" "SCFLD120" 455080 "Scaffold120" "Scaffold120_455080"
"82" "L1" "SCFLD120" 455108 "Scaffold120" "Scaffold120_455108"
"83" "L1" "SCFLD120" 548232 "Scaffold120" "Scaffold120_548232"
"84" "L1" "SCFLD120" 586850 "Scaffold120" "Scaffold120_586850"
"85" "L1" "SCFLD120" 592249 "Scaffold120" "Scaffold120_592249"
"86" "L1" "SCFLD120" 66833 "Scaffold120" "Scaffold120_66833"
"87" "L1" "SCFLD120" 94834 "Scaffold120" "Scaffold120_94834"
"88" "L1" "SCFLD173" 1010666 "Scaffold173" "Scaffold173_1010666"
"89" "L1" "SCFLD173" 1018020 "Scaffold173" "Scaffold173_1018020"
"90" "L1" "SCFLD173" 1025208 "Scaffold173" "Scaffold173_1025208"
"91" "L1" "SCFLD173" 1039532 "Scaffold173" "Scaffold173_1039532"
"92" "L1" "SCFLD173" 1137299 "Scaffold173" "Scaffold173_1137299"
"93" "L1" "SCFLD173" 1236805 "Scaffold173" "Scaffold173_1236805"
"94" "L1" "SCFLD173" 1306523 "Scaffold173" "Scaffold173_1306523"
"95" "L1" "SCFLD173" 1366166 "Scaffold173" "Scaffold173_1366166"
"96" "L1" "SCFLD173" 1459526 "Scaffold173" "Scaffold173_1459526"
"97" "L1" "SCFLD173" 1479961 "Scaffold173" "Scaffold173_1479961"
"98" "L1" "SCFLD173" 1488832 "Scaffold173" "Scaffold173_1488832"
"99" "L1" "SCFLD173" 1620195 "Scaffold173" "Scaffold173_1620195"
"100" "L1" "SCFLD173" 1676893 "Scaffold173" "Scaffold173_1676893"
"101" "L1" "SCFLD173" 1752565 "Scaffold173" "Scaffold173_1752565"
"102" "L1" "SCFLD173" 1834878 "Scaffold173" "Scaffold173_1834878"
"103" "L1" "SCFLD173" 1892163 "Scaffold173" "Scaffold173_1892163"
"104" "L1" "SCFLD173" 1943804 "Scaffold173" "Scaffold173_1943804"
"105" "L1" "SCFLD173" 1981592 "Scaffold173" "Scaffold173_1981592"
"106" "L1" "SCFLD173" 2123192 "Scaffold173" "Scaffold173_2123192"
"107" "L1" "SCFLD173" 2265407 "Scaffold173" "Scaffold173_2265407"
"108" "L1" "SCFLD173" 2317659 "Scaffold173" "Scaffold173_2317659"
"109" "L1" "SCFLD173" 2481332 "Scaffold173" "Scaffold173_2481332"
"110" "L1" "SCFLD173" 2542095 "Scaffold173" "Scaffold173_2542095"
"111" "L1" "SCFLD173" 2550267 "Scaffold173" "Scaffold173_2550267"
"112" "L1" "SCFLD173" 2565632 "Scaffold173" "Scaffold173_2565632"
"113" "L1" "SCFLD173" 2576594 "Scaffold173" "Scaffold173_2576594"
"114" "L1" "SCFLD173" 2582222 "Scaffold173" "Scaffold173_2582222"
"115" "L1" "SCFLD173" 2667876 "Scaffold173" "Scaffold173_2667876"
"116" "L1" "SCFLD173" 2720069 "Scaffold173" "Scaffold173_2720069"
"117" "L1" "SCFLD173" 2736431 "Scaffold173" "Scaffold173_2736431"
"118" "L1" "SCFLD173" 2757114 "Scaffold173" "Scaffold173_2757114"
"119" "L1" "SCFLD173" 2779809 "Scaffold173" "Scaffold173_2779809"
"120" "L1" "SCFLD173" 2783418 "Scaffold173" "Scaffold173_2783418"
"121" "L1" "SCFLD173" 2909684 "Scaffold173" "Scaffold173_2909684"
"122" "L1" "SCFLD173" 2951538 "Scaffold173" "Scaffold173_2951538"
"123" "L1" "SCFLD173" 3076281 "Scaffold173" "Scaffold173_3076281"
"124" "L1" "SCFLD173" 3220934 "Scaffold173" "Scaffold173_3220934"
"125" "L1" "SCFLD173" 3369605 "Scaffold173" "Scaffold173_3369605"
"126" "L1" "SCFLD173" 3387483 "Scaffold173" "Scaffold173_3387483"
"127" "L1" "SCFLD173" 3395239 "Scaffold173" "Scaffold173_3395239"
"128" "L1" "SCFLD173" 3451709 "Scaffold173" "Scaffold173_3451709"
"129" "L1" "SCFLD173" 3669290 "Scaffold173" "Scaffold173_3669290"
"130" "L1" "SCFLD173" 3751799 "Scaffold173" "Scaffold173_3751799"
"131" "L1" "SCFLD173" 705936 "Scaffold173" "Scaffold173_705936"
"132" "L1" "SCFLD173" 794471 "Scaffold173" "Scaffold173_794471"
"133" "L1" "SCFLD173" 892047 "Scaffold173" "Scaffold173_892047"
"134" "L1" "SCFLD173" 935587 "Scaffold173" "Scaffold173_935587"
"135" "L1" "SCFLD174" 1062157 "Scaffold174" "Scaffold174_1062157"
"136" "L1" "SCFLD174" 1173595 "Scaffold174" "Scaffold174_1173595"
"137" "L1" "SCFLD174" 1205200 "Scaffold174" "Scaffold174_1205200"
"138" "L1" "SCFLD174" 1258911 "Scaffold174" "Scaffold174_1258911"
"139" "L1" "SCFLD174" 1263886 "Scaffold174" "Scaffold174_1263886"
"140" "L1" "SCFLD174" 1308804 "Scaffold174" "Scaffold174_1308804"
"141" "L1" "SCFLD174" 1472143 "Scaffold174" "Scaffold174_1472143"
"142" "L1" "SCFLD174" 151382 "Scaffold174" "Scaffold174_151382"
"143" "L1" "SCFLD174" 1609779 "Scaffold174" "Scaffold174_1609779"
"144" "L1" "SCFLD174" 163291 "Scaffold174" "Scaffold174_163291"
"145" "L1" "SCFLD174" 167000 "Scaffold174" "Scaffold174_167000"
"146" "L1" "SCFLD174" 1684483 "Scaffold174" "Scaffold174_1684483"
"147" "L1" "SCFLD174" 1684509 "Scaffold174" "Scaffold174_1684509"
"148" "L1" "SCFLD174" 1727762 "Scaffold174" "Scaffold174_1727762"
"149" "L1" "SCFLD174" 1758253 "Scaffold174" "Scaffold174_1758253"
"150" "L1" "SCFLD174" 1762816 "Scaffold174" "Scaffold174_1762816"
"151" "L1" "SCFLD174" 2146499 "Scaffold174" "Scaffold174_2146499"
"152" "L1" "SCFLD174" 2146508 "Scaffold174" "Scaffold174_2146508"
"153" "L1" "SCFLD174" 2201688 "Scaffold174" "Scaffold174_2201688"
"154" "L1" "SCFLD174" 2601774 "Scaffold174" "Scaffold174_2601774"
"155" "L1" "SCFLD174" 2899296 "Scaffold174" "Scaffold174_2899296"
"156" "L1" "SCFLD174" 2907000 "Scaffold174" "Scaffold174_2907000"
"157" "L1" "SCFLD174" 2938449 "Scaffold174" "Scaffold174_2938449"
"158" "L1" "SCFLD174" 3005024 "Scaffold174" "Scaffold174_3005024"
"159" "L1" "SCFLD174" 307900 "Scaffold174" "Scaffold174_307900"
"160" "L1" "SCFLD174" 3113291 "Scaffold174" "Scaffold174_3113291"
"161" "L1" "SCFLD174" 3194252 "Scaffold174" "Scaffold174_3194252"
"162" "L1" "SCFLD174" 3318148 "Scaffold174" "Scaffold174_3318148"
"163" "L1" "SCFLD174" 3342784 "Scaffold174" "Scaffold174_3342784"
"164" "L1" "SCFLD174" 3477071 "Scaffold174" "Scaffold174_3477071"
"165" "L1" "SCFLD174" 3484066 "Scaffold174" "Scaffold174_3484066"
"166" "L1" "SCFLD174" 3658553 "Scaffold174" "Scaffold174_3658553"
"167" "L1" "SCFLD174" 3740054 "Scaffold174" "Scaffold174_3740054"
"168" "L1" "SCFLD174" 3751642 "Scaffold174" "Scaffold174_3751642"
"169" "L1" "SCFLD174" 3831639 "Scaffold174" "Scaffold174_3831639"
"170" "L1" "SCFLD174" 3838414 "Scaffold174" "Scaffold174_3838414"
"171" "L1" "SCFLD174" 3914270 "Scaffold174" "Scaffold174_3914270"
"172" "L1" "SCFLD174" 3914289 "Scaffold174" "Scaffold174_3914289"
"173" "L1" "SCFLD174" 3975347 "Scaffold174" "Scaffold174_3975347"
"174" "L1" "SCFLD174" 3975354 "Scaffold174" "Scaffold174_3975354"
"175" "L1" "SCFLD174" 398781 "Scaffold174" "Scaffold174_398781"
"176" "L1" "SCFLD174" 42710 "Scaffold174" "Scaffold174_42710"
"177" "L1" "SCFLD174" 433288 "Scaffold174" "Scaffold174_433288"
"178" "L1" "SCFLD174" 522184 "Scaffold174" "Scaffold174_522184"
"179" "L1" "SCFLD174" 522218 "Scaffold174" "Scaffold174_522218"
"180" "L1" "SCFLD174" 54963 "Scaffold174" "Scaffold174_54963"
"181" "L1" "SCFLD174" 553628 "Scaffold174" "Scaffold174_553628"
"182" "L1" "SCFLD174" 569640 "Scaffold174" "Scaffold174_569640"
"183" "L1" "SCFLD174" 628805 "Scaffold174" "Scaffold174_628805"
"184" "L1" "SCFLD174" 762905 "Scaffold174" "Scaffold174_762905"
"185" "L1" "SCFLD174" 789768 "Scaffold174" "Scaffold174_789768"
"186" "L1" "SCFLD174" 844476 "Scaffold174" "Scaffold174_844476"
"187" "L1" "SCFLD174" 979566 "Scaffold174" "Scaffold174_979566"
"188" "L1" "SCFLD313" 183064 "Scaffold313" "Scaffold313_183064"
"189" "L1" "SCFLD313" 192131 "Scaffold313" "Scaffold313_192131"
"190" "L1" "SCFLD313" 21108 "Scaffold313" "Scaffold313_21108"
"191" "L1" "SCFLD313" 222742 "Scaffold313" "Scaffold313_222742"
"192" "L1" "SCFLD313" 222856 "Scaffold313" "Scaffold313_222856"
"193" "L1" "SCFLD313" 252701 "Scaffold313" "Scaffold313_252701"
"194" "L1" "SCFLD313" 265466 "Scaffold313" "Scaffold313_265466"
"195" "L1" "SCFLD313" 265621 "Scaffold313" "Scaffold313_265621"
"196" "L1" "SCFLD313" 312046 "Scaffold313" "Scaffold313_312046"
"197" "L1" "SCFLD313" 316364 "Scaffold313" "Scaffold313_316364"
"198" "L1" "SCFLD313" 53780 "Scaffold313" "Scaffold313_53780"
"199" "L1" "SCFLD468" 1018694 "Scaffold468" "Scaffold468_1018694"
"200" "L1" "SCFLD468" 1018711 "Scaffold468" "Scaffold468_1018711"
"201" "L1" "SCFLD468" 105163 "Scaffold468" "Scaffold468_105163"
"202" "L1" "SCFLD468" 1146989 "Scaffold468" "Scaffold468_1146989"
"203" "L1" "SCFLD468" 1147113 "Scaffold468" "Scaffold468_1147113"
"204" "L1" "SCFLD468" 1215073 "Scaffold468" "Scaffold468_1215073"
"205" "L1" "SCFLD468" 1215083 "Scaffold468" "Scaffold468_1215083"
"206" "L1" "SCFLD468" 1545476 "Scaffold468" "Scaffold468_1545476"
"207" "L1" "SCFLD468" 1878835 "Scaffold468" "Scaffold468_1878835"
"208" "L1" "SCFLD468" 1949678 "Scaffold468" "Scaffold468_1949678"
"209" "L1" "SCFLD468" 1970758 "Scaffold468" "Scaffold468_1970758"
"210" "L1" "SCFLD468" 2006997 "Scaffold468" "Scaffold468_2006997"
"211" "L1" "SCFLD468" 2036723 "Scaffold468" "Scaffold468_2036723"
"212" "L1" "SCFLD468" 2090259 "Scaffold468" "Scaffold468_2090259"
"213" "L1" "SCFLD468" 2206605 "Scaffold468" "Scaffold468_2206605"
"214" "L1" "SCFLD468" 224964 "Scaffold468" "Scaffold468_224964"
"215" "L1" "SCFLD468" 2338232 "Scaffold468" "Scaffold468_2338232"
"216" "L1" "SCFLD468" 2560707 "Scaffold468" "Scaffold468_2560707"
"217" "L1" "SCFLD468" 2560868 "Scaffold468" "Scaffold468_2560868"
"218" "L1" "SCFLD468" 275654 "Scaffold468" "Scaffold468_275654"
"219" "L1" "SCFLD468" 2952493 "Scaffold468" "Scaffold468_2952493"
"220" "L1" "SCFLD468" 2981814 "Scaffold468" "Scaffold468_2981814"
"221" "L1" "SCFLD468" 2981924 "Scaffold468" "Scaffold468_2981924"
"222" "L1" "SCFLD468" 2996390 "Scaffold468" "Scaffold468_2996390"
"223" "L1" "SCFLD468" 3055817 "Scaffold468" "Scaffold468_3055817"
"224" "L1" "SCFLD468" 3268354 "Scaffold468" "Scaffold468_3268354"
"225" "L1" "SCFLD468" 3293477 "Scaffold468" "Scaffold468_3293477"
"226" "L1" "SCFLD468" 3307916 "Scaffold468" "Scaffold468_3307916"
"227" "L1" "SCFLD468" 3322349 "Scaffold468" "Scaffold468_3322349"
"228" "L1" "SCFLD468" 3344651 "Scaffold468" "Scaffold468_3344651"
"229" "L1" "SCFLD468" 3365678 "Scaffold468" "Scaffold468_3365678"
"230" "L1" "SCFLD468" 3372961 "Scaffold468" "Scaffold468_3372961"
"231" "L1" "SCFLD468" 3434007 "Scaffold468" "Scaffold468_3434007"
"232" "L1" "SCFLD468" 3468794 "Scaffold468" "Scaffold468_3468794"
