a b c d e f g final.parent
Scaffold172_513040 L1 SCFLD172 513040 Scaffold172 Scaffold172_513040 1 1 abbb
Scaffold173d_1039607 L1 SCFLD173d 1039607 Scaffold173d Scaffold173d_1039607 1 1 bbba
Scaffold188_180129 L1 SCFLD188 180129 Scaffold188 Scaffold188_180129 0 0 abaa
Scaffold188_189798 L1 SCFLD188 189798 Scaffold188 Scaffold188_189798 0 0 abaa
Scaffold188_206527 L1 SCFLD188 206527 Scaffold188 Scaffold188_206527 1 1 abaa
Scaffold188_265736 L1 SCFLD188 265736 Scaffold188 Scaffold188_265736 1 1 abab
Scaffold188_300554 L1 SCFLD188 300554 Scaffold188 Scaffold188_300554 1 1 aaab
Scaffold188_350432 L1 SCFLD188 350432 Scaffold188 Scaffold188_350432 0 0 abaa
Scaffold188_372883 L1 SCFLD188 372883 Scaffold188 Scaffold188_372883 0 0 abaa
Scaffold188_85532 L1 SCFLD188 85532 Scaffold188 Scaffold188_85532 0 0 abaa
Scaffold1978_1661 L1 SCFLD1978 1661 Scaffold1978 Scaffold1978_1661 1 1 abbb
Scaffold2206_14349 L1 SCFLD2206 14349 Scaffold2206 Scaffold2206_14349 1 1 abab
Scaffold262_70563 L1 SCFLD262 70563 Scaffold262 Scaffold262_70563 1 1 abaa
Scaffold369_244726 L1 SCFLD369 244726 Scaffold369 Scaffold369_244726 0 0 aaab
Scaffold369_318391 L1 SCFLD369 318391 Scaffold369 Scaffold369_318391 1 1 aaab
Scaffold4099_645 L1 SCFLD4099 645 Scaffold4099 Scaffold4099_645 1 1 bbba
Scaffold430_6890 L1 SCFLD430 6890 Scaffold430 Scaffold430_6890 1 1 aaab
Scaffold441_198210 L1 SCFLD441 198210 Scaffold441 Scaffold441_198210 0 0 aaab
Scaffold441_205287 L1 SCFLD441 205287 Scaffold441 Scaffold441_205287 1 1 aaab
Scaffold545_147188 L1 SCFLD545 147188 Scaffold545 Scaffold545_147188 1 1 abaa
Scaffold597_166674 L1 SCFLD597 166674 Scaffold597 Scaffold597_166674 1 1 aaab
Scaffold597_166688 L1 SCFLD597 166688 Scaffold597 Scaffold597_166688 1 1 abaa
Scaffold622_24354 L1 SCFLD622 24354 Scaffold622 Scaffold622_24354 0 0 abaa
Scaffold622_4076 L1 SCFLD622 4076 Scaffold622 Scaffold622_4076 1 1 abaa
Scaffold622_89557 L1 SCFLD622 89557 Scaffold622 Scaffold622_89557 0 0 abaa
Scaffold622_98742 L1 SCFLD622 98742 Scaffold622 Scaffold622_98742 0 0 abaa
Scaffold633_89034 L1 SCFLD633 89034 Scaffold633 Scaffold633_89034 1 1 bbba
Scaffold6527_5762 L1 SCFLD6527 5762 Scaffold6527 Scaffold6527_5762 1 1 aaab
Scaffold9_176516 L1 SCFLD9 176516 Scaffold9 Scaffold9_176516 1 1 abaa
Scaffold9_456130 L1 SCFLD9 456130 Scaffold9 Scaffold9_456130 1 1 bbba
Scaffold9_550390 L1 SCFLD9 550390 Scaffold9 Scaffold9_550390 0 0 abab
Scaffold9_715094 L1 SCFLD9 715094 Scaffold9 Scaffold9_715094 0 0 aaab
Scaffold9_761994 L1 SCFLD9 761994 Scaffold9 Scaffold9_761994 0 0 abab
Scaffold9_779153 L1 SCFLD9 779153 Scaffold9 Scaffold9_779153 1 1 abab
Scaffold97_471456 L1 SCFLD97 471456 Scaffold97 Scaffold97_471456 1 1 abbb
Scaffold9916a_39835 L1 SCFLD9916a 39835 Scaffold9916a Scaffold9916a_39835 1 1 abaa
Scaffold9916b_68080 L1 SCFLD9916b 68080 Scaffold9916b Scaffold9916b_68080 1 1 abaa
Scaffold9916c_82859 L1 SCFLD9916c 82859 Scaffold9916c Scaffold9916c_82859 1 1 abaa
Scaffold9916d_82946 L1 SCFLD9916d 82946 Scaffold9916d Scaffold9916d_82946 1 1 abab
Scaffold9916e_244091 L1 SCFLD9916e 244091 Scaffold9916e Scaffold9916e_244091 1 1 aaab
Scaffold9916f_244222 L1 SCFLD9916f 244222 Scaffold9916f Scaffold9916f_244222 1 1 abaa
Scaffold9916g_449892 L1 SCFLD9916g 449892 Scaffold9916g Scaffold9916g_449892 1 1 abaa
Scaffold9916h_450033 L1 SCFLD9916h 450033 Scaffold9916h Scaffold9916h_450033 1 1 aaab
Scaffold9916i_878900 L1 SCFLD9916i 878900 Scaffold9916i Scaffold9916i_878900 1 1 abaa
Scaffold9916j_920234 L1 SCFLD9916j 920234 Scaffold9916j Scaffold9916j_920234 1 1 abaa
Scaffold9916k_932413 L1 SCFLD9916k 932413 Scaffold9916k Scaffold9916k_932413 1 1 abab
Scaffold9916l_932451 L1 SCFLD9916l 932451 Scaffold9916l Scaffold9916l_932451 1 1 abaa
Scaffold9916m_949946 L1 SCFLD9916m 949946 Scaffold9916m Scaffold9916m_949946 1 1 abab
Scaffold9916n_949977 L1 SCFLD9916n 949977 Scaffold9916n Scaffold9916n_949977 1 1 abaa
Scaffold9949_1182989 L1 SCFLD9949 1182989 Scaffold9949 Scaffold9949_1182989 0 0 abaa
Scaffold9949_1641054 L1 SCFLD9949 1641054 Scaffold9949 Scaffold9949_1641054 1 1 abab
Scaffold9949_230349 L1 SCFLD9949 230349 Scaffold9949 Scaffold9949_230349 0 0 abaa
Scaffold9949_427977 L1 SCFLD9949 427977 Scaffold9949 Scaffold9949_427977 0 0 abaa
Scaffold9949_449616 L1 SCFLD9949 449616 Scaffold9949 Scaffold9949_449616 1 1 aaab
Scaffold9949_830301 L1 SCFLD9949 830301 Scaffold9949 Scaffold9949_830301 1 1 abaa
Scaffold10001_1154962 L1 SCFLD10001 1154962 Scaffold10001 Scaffold10001_1154962 0 1 abaa
Scaffold10001_118160 L1 SCFLD10001 118160 Scaffold10001 Scaffold10001_118160 0 0 abaa
Scaffold10001_1370756 L1 SCFLD10001 1370756 Scaffold10001 Scaffold10001_1370756 0 0 aaab
Scaffold10001_1377757 L1 SCFLD10001 1377757 Scaffold10001 Scaffold10001_1377757 1 0 abaa
Scaffold10001_151312 L1 SCFLD10001 151312 Scaffold10001 Scaffold10001_151312 1 1 abbb
Scaffold10001_454470 L1 SCFLD10001 454470 Scaffold10001 Scaffold10001_454470 0 0 abaa
Scaffold10001_454497 L1 SCFLD10001 454497 Scaffold10001 Scaffold10001_454497 1 1 bbba
Scaffold10001_458444 L1 SCFLD10001 458444 Scaffold10001 Scaffold10001_458444 0 0 aaab
Scaffold10001_458584 L1 SCFLD10001 458584 Scaffold10001 Scaffold10001_458584 0 0 abaa
Scaffold10001_494138 L1 SCFLD10001 494138 Scaffold10001 Scaffold10001_494138 0 0 abaa
Scaffold10001_508064 L1 SCFLD10001 508064 Scaffold10001 Scaffold10001_508064 0 0 abaa
Scaffold10001_594349 L1 SCFLD10001 594349 Scaffold10001 Scaffold10001_594349 0 0 abaa
Scaffold10001_606099 L1 SCFLD10001 606099 Scaffold10001 Scaffold10001_606099 0 0 abaa
Scaffold10001_63226 L1 SCFLD10001 63226 Scaffold10001 Scaffold10001_63226 1 0 abab
Scaffold10001_670673 L1 SCFLD10001 670673 Scaffold10001 Scaffold10001_670673 0 0 abaa
Scaffold10001_682440 L1 SCFLD10001 682440 Scaffold10001 Scaffold10001_682440 0 0 abaa
Scaffold10001_706794 L1 SCFLD10001 706794 Scaffold10001 Scaffold10001_706794 1 0 abaa
Scaffold10001_942145 L1 SCFLD10001 942145 Scaffold10001 Scaffold10001_942145 0 0 abaa
Scaffold10001_948246 L1 SCFLD10001 948246 Scaffold10001 Scaffold10001_948246 0 0 abaa
Scaffold10001_980922 L1 SCFLD10001 980922 Scaffold10001 Scaffold10001_980922 1 0 aaab
Scaffold10001_980949 L1 SCFLD10001 980949 Scaffold10001 Scaffold10001_980949 0 0 abaa
Scaffold10001_980958 L1 SCFLD10001 980958 Scaffold10001 Scaffold10001_980958 1 1 abab
Scaffold120_153186 L1 SCFLD120 153186 Scaffold120 Scaffold120_153186 0 0 abab
Scaffold120_169963 L1 SCFLD120 169963 Scaffold120 Scaffold120_169963 0 0 abab
Scaffold120_207210 L1 SCFLD120 207210 Scaffold120 Scaffold120_207210 1 1 abab
Scaffold120_455080 L1 SCFLD120 455080 Scaffold120 Scaffold120_455080 1 1 aaab
Scaffold120_455108 L1 SCFLD120 455108 Scaffold120 Scaffold120_455108 0 0 abab
Scaffold120_548232 L1 SCFLD120 548232 Scaffold120 Scaffold120_548232 0 0 abab
Scaffold120_586850 L1 SCFLD120 586850 Scaffold120 Scaffold120_586850 0 0 abab
Scaffold120_592249 L1 SCFLD120 592249 Scaffold120 Scaffold120_592249 0 0 abab
Scaffold120_66833 L1 SCFLD120 66833 Scaffold120 Scaffold120_66833 1 1 abaa
Scaffold120_94834 L1 SCFLD120 94834 Scaffold120 Scaffold120_94834 0 0 abab
Scaffold173_1010666 L1 SCFLD173 1010666 Scaffold173 Scaffold173_1010666 0 0 abaa
Scaffold173_1018020 L1 SCFLD173 1018020 Scaffold173 Scaffold173_1018020 0 0 abaa
Scaffold173_1025208 L1 SCFLD173 1025208 Scaffold173 Scaffold173_1025208 0 0 abaa
Scaffold173_1039532 L1 SCFLD173 1039532 Scaffold173 Scaffold173_1039532 0 0 abaa
Scaffold173_1137299 L1 SCFLD173 1137299 Scaffold173 Scaffold173_1137299 0 0 abaa
Scaffold173_1236805 L1 SCFLD173 1236805 Scaffold173 Scaffold173_1236805 1 0 abaa
Scaffold173_1306523 L1 SCFLD173 1306523 Scaffold173 Scaffold173_1306523 0 0 abaa
Scaffold173_1366166 L1 SCFLD173 1366166 Scaffold173 Scaffold173_1366166 0 0 abaa
Scaffold173_1459526 L1 SCFLD173 1459526 Scaffold173 Scaffold173_1459526 0 0 abaa
Scaffold173_1479961 L1 SCFLD173 1479961 Scaffold173 Scaffold173_1479961 0 0 abaa
Scaffold173_1488832 L1 SCFLD173 1488832 Scaffold173 Scaffold173_1488832 0 0 abaa
Scaffold173_1620195 L1 SCFLD173 1620195 Scaffold173 Scaffold173_1620195 0 0 abaa
Scaffold173_1676893 L1 SCFLD173 1676893 Scaffold173 Scaffold173_1676893 0 0 abaa
Scaffold173_1752565 L1 SCFLD173 1752565 Scaffold173 Scaffold173_1752565 0 0 abaa
Scaffold173_1834878 L1 SCFLD173 1834878 Scaffold173 Scaffold173_1834878 1 0 abaa
Scaffold173_1892163 L1 SCFLD173 1892163 Scaffold173 Scaffold173_1892163 0 0 abaa
Scaffold173_1943804 L1 SCFLD173 1943804 Scaffold173 Scaffold173_1943804 0 0 abaa
Scaffold173_1981592 L1 SCFLD173 1981592 Scaffold173 Scaffold173_1981592 0 0 abaa
Scaffold173_2123192 L1 SCFLD173 2123192 Scaffold173 Scaffold173_2123192 0 0 abaa
Scaffold173_2265407 L1 SCFLD173 2265407 Scaffold173 Scaffold173_2265407 0 0 abaa
Scaffold173_2317659 L1 SCFLD173 2317659 Scaffold173 Scaffold173_2317659 0 0 abaa
Scaffold173_2481332 L1 SCFLD173 2481332 Scaffold173 Scaffold173_2481332 0 0 abaa
Scaffold173_2542095 L1 SCFLD173 2542095 Scaffold173 Scaffold173_2542095 0 0 abaa
Scaffold173_2550267 L1 SCFLD173 2550267 Scaffold173 Scaffold173_2550267 1 0 abaa
Scaffold173_2565632 L1 SCFLD173 2565632 Scaffold173 Scaffold173_2565632 0 0 abaa
Scaffold173_2576594 L1 SCFLD173 2576594 Scaffold173 Scaffold173_2576594 0 0 abaa
Scaffold173_2582222 L1 SCFLD173 2582222 Scaffold173 Scaffold173_2582222 0 0 abaa
Scaffold173_2667876 L1 SCFLD173 2667876 Scaffold173 Scaffold173_2667876 0 0 abaa
Scaffold173_2720069 L1 SCFLD173 2720069 Scaffold173 Scaffold173_2720069 0 0 abaa
Scaffold173_2736431 L1 SCFLD173 2736431 Scaffold173 Scaffold173_2736431 0 0 abaa
Scaffold173_2757114 L1 SCFLD173 2757114 Scaffold173 Scaffold173_2757114 0 0 abaa
Scaffold173_2779809 L1 SCFLD173 2779809 Scaffold173 Scaffold173_2779809 0 0 abaa
Scaffold173_2783418 L1 SCFLD173 2783418 Scaffold173 Scaffold173_2783418 0 0 abaa
Scaffold173_2909684 L1 SCFLD173 2909684 Scaffold173 Scaffold173_2909684 0 0 abaa
Scaffold173_2951538 L1 SCFLD173 2951538 Scaffold173 Scaffold173_2951538 0 0 abaa
Scaffold173_3076281 L1 SCFLD173 3076281 Scaffold173 Scaffold173_3076281 0 0 abbb
Scaffold173_3220934 L1 SCFLD173 3220934 Scaffold173 Scaffold173_3220934 0 0 abbb
Scaffold173_3369605 L1 SCFLD173 3369605 Scaffold173 Scaffold173_3369605 0 0 abaa
Scaffold173_3387483 L1 SCFLD173 3387483 Scaffold173 Scaffold173_3387483 0 0 abaa
Scaffold173_3395239 L1 SCFLD173 3395239 Scaffold173 Scaffold173_3395239 0 0 abaa
Scaffold173_3451709 L1 SCFLD173 3451709 Scaffold173 Scaffold173_3451709 0 0 abaa
Scaffold173_3669290 L1 SCFLD173 3669290 Scaffold173 Scaffold173_3669290 1 1 abbb
Scaffold173_3751799 L1 SCFLD173 3751799 Scaffold173 Scaffold173_3751799 0 0 abaa
Scaffold173_705936 L1 SCFLD173 705936 Scaffold173 Scaffold173_705936 1 1 abbb
Scaffold173_794471 L1 SCFLD173 794471 Scaffold173 Scaffold173_794471 0 0 abaa
Scaffold173_892047 L1 SCFLD173 892047 Scaffold173 Scaffold173_892047 0 0 abaa
Scaffold173_935587 L1 SCFLD173 935587 Scaffold173 Scaffold173_935587 0 0 abaa
Scaffold174_1062157 L1 SCFLD174 1062157 Scaffold174 Scaffold174_1062157 1 1 abaa
Scaffold174_1173595 L1 SCFLD174 1173595 Scaffold174 Scaffold174_1173595 0 0 abaa
Scaffold174_1205200 L1 SCFLD174 1205200 Scaffold174 Scaffold174_1205200 0 0 abaa
Scaffold174_1258911 L1 SCFLD174 1258911 Scaffold174 Scaffold174_1258911 0 0 abaa
Scaffold174_1263886 L1 SCFLD174 1263886 Scaffold174 Scaffold174_1263886 0 0 abaa
Scaffold174_1308804 L1 SCFLD174 1308804 Scaffold174 Scaffold174_1308804 0 0 abaa
Scaffold174_1472143 L1 SCFLD174 1472143 Scaffold174 Scaffold174_1472143 0 0 abaa
Scaffold174_151382 L1 SCFLD174 151382 Scaffold174 Scaffold174_151382 1 0 abaa
Scaffold174_1609779 L1 SCFLD174 1609779 Scaffold174 Scaffold174_1609779 1 0 abaa
Scaffold174_163291 L1 SCFLD174 163291 Scaffold174 Scaffold174_163291 0 0 abaa
Scaffold174_167000 L1 SCFLD174 167000 Scaffold174 Scaffold174_167000 0 0 abaa
Scaffold174_1684483 L1 SCFLD174 1684483 Scaffold174 Scaffold174_1684483 0 0 abaa
Scaffold174_1684509 L1 SCFLD174 1684509 Scaffold174 Scaffold174_1684509 0 0 aaab
Scaffold174_1727762 L1 SCFLD174 1727762 Scaffold174 Scaffold174_1727762 0 0 aaab
Scaffold174_1758253 L1 SCFLD174 1758253 Scaffold174 Scaffold174_1758253 0 0 abaa
Scaffold174_1762816 L1 SCFLD174 1762816 Scaffold174 Scaffold174_1762816 0 0 abaa
Scaffold174_2146499 L1 SCFLD174 2146499 Scaffold174 Scaffold174_2146499 1 1 bbba
Scaffold174_2146508 L1 SCFLD174 2146508 Scaffold174 Scaffold174_2146508 1 0 abaa
Scaffold174_2201688 L1 SCFLD174 2201688 Scaffold174 Scaffold174_2201688 0 0 abaa
Scaffold174_2601774 L1 SCFLD174 2601774 Scaffold174 Scaffold174_2601774 0 0 abaa
