V1,V2,V3
*_SCFLD0_27688,B3.7,-,-,2ab,-,-,-,-,2ab,b,a,-,-,-,-,2ab,2ab,2ab,b,2ab,-,-,a,2ab,-,-,2ab,2ab,2ab,2ab,-,-,-,-,2ab,b,2ab,b,-,-,-,2ab,a,b,-,2ab,2ab,2ab,a,a,a,2ab,-,a,b,2ab,a,a,-,-,b,b,-,2ab,-,b,a,-,2ab,-,2ab,b,a,2ab,a,2ab,2ab,-,-,2ab,b,2ab,-,-,-,-,-,2ab,a,a,b
*_SCFLD0_54078,B3.7,-,2ab,2ab,-,-,-,2ab,-,-,b,b,2ab,-,-,-,2ab,-,a,-,2ab,2ab,b,-,-,-,-,-,2ab,2ab,-,b,-,2ab,-,a,-,-,2ab,-,-,2ab,b,-,a,-,2ab,2ab,-,b,b,2ab,a,b,a,2ab,-,-,b,2ab,a,-,2ab,2ab,2ab,a,-,-,2ab,a,-,a,b,2ab,-,-,2ab,-,-,-,-,2ab,-,2ab,2ab,2ab,-,-,-,b,a
*_SCFLD0_54091,B3.7,-,2ab,2ab,-,-,-,-,-,-,-,b,2ab,-,-,-,2ab,-,a,-,2ab,2ab,b,-,-,-,2ab,-,2ab,2ab,-,b,-,-,-,a,-,-,2ab,-,-,2ab,b,-,a,-,2ab,2ab,-,-,b,2ab,a,b,a,2ab,-,-,b,2ab,a,-,2ab,2ab,2ab,a,b,-,2ab,a,-,a,-,2ab,-,-,2ab,-,-,-,-,2ab,-,2ab,2ab,2ab,-,-,-,b,a
*_SCFLD0_88570,D2.15,-,-,-,-,a,-,-,a,-,a,a,a,-,ab,ab,ab,ab,ab,a,a,a,a,ab,-,ab,ab,a,a,ab,ab,a,-,-,-,ab,a,ab,a,-,a,ab,a,-,ab,-,a,-,a,a,a,-,ab,-,-,a,-,-,-,a,-,-,-,-,ab,ab,a,ab,ab,ab,a,-,a,a,-,-,a,a,a,ab,-,a,ab,a,a,ab,a,ab,-,a,ab
*_SCFLD0_88595,D2.15,-,-,-,-,a,-,-,-,-,a,a,a,-,ab,ab,ab,ab,ab,a,a,a,a,-,-,-,ab,a,a,ab,-,a,-,-,-,ab,a,ab,a,-,-,ab,a,-,ab,-,a,-,a,a,a,-,ab,-,-,a,-,-,-,a,-,-,-,-,ab,ab,a,ab,ab,ab,a,-,a,a,-,-,a,a,a,ab,-,a,ab,a,a,ab,a,ab,-,a,ab
*_SCFLD0_88613,D2.15,-,-,-,-,a,-,-,a,-,a,a,a,-,ab,ab,ab,ab,ab,a,a,a,-,-,-,-,ab,a,a,ab,-,a,-,-,-,ab,a,ab,a,-,-,ab,a,-,ab,-,a,-,-,a,a,-,ab,-,-,a,-,-,-,a,-,-,-,-,ab,ab,a,-,ab,ab,a,-,a,-,-,-,a,a,a,ab,-,a,ab,a,a,ab,a,ab,-,a,ab
*_SCFLD0_88624,D2.15,-,-,-,-,a,-,-,a,-,a,a,a,-,ab,ab,ab,-,ab,a,a,a,-,-,-,-,ab,a,a,ab,-,a,-,-,-,-,a,ab,a,-,-,ab,a,-,ab,-,a,-,-,a,a,-,ab,-,-,a,-,-,-,a,-,-,-,-,ab,ab,a,-,-,ab,a,-,a,-,-,-,a,a,a,ab,-,-,ab,a,a,ab,a,ab,-,a,ab
*_SCFLD0_137912,D2.15,-,-,ab,-,a,-,a,a,ab,a,-,a,-,ab,ab,-,-,ab,a,-,-,-,ab,-,-,ab,-,-,ab,-,-,-,-,-,-,a,ab,-,-,-,ab,a,ab,ab,ab,a,ab,a,-,a,a,ab,-,ab,a,-,a,-,a,ab,-,ab,-,ab,-,-,ab,-,-,-,ab,-,a,-,-,-,a,-,-,-,-,-,a,a,-,-,ab,-,a,ab
*_SCFLD0_439873,D1.10,-,-,ab,-,-,-,ab,-,-,a,-,ab,-,a,a,-,a,ab,ab,ab,ab,-,a,-,-,a,-,ab,a,ab,a,a,-,ab,-,-,-,ab,-,-,-,-,a,ab,a,-,a,-,a,a,ab,ab,a,-,-,-,-,-,ab,ab,ab,a,a,a,-,-,-,-,ab,-,ab,-,-,-,-,ab,a,-,-,ab,-,-,ab,ab,-,-,a,-,a,ab
*_SCFLD0_439915,D1.10,-,-,ab,-,-,-,ab,-,-,-,-,ab,-,a,a,-,a,ab,ab,ab,ab,-,a,-,-,a,-,ab,a,ab,a,a,-,ab,-,-,-,ab,-,-,-,-,a,ab,a,-,a,-,a,a,ab,ab,-,-,ab,-,-,-,ab,ab,ab,a,a,a,-,a,-,-,ab,-,ab,-,-,-,-,ab,a,-,-,ab,ab,-,ab,ab,-,-,a,-,a,ab
